full_name;stars;age_years;releases_count;primary_language;forks_count;open_issues_count;created_at;updated_at
tianshiyeben/wgcloud;5110;7.18;31;Java;895;45;2019-01-15T02:02:21Z;2026-03-20T14:44:49Z
apache/calcite;5101;11.74;0;Java;2474;326;2014-06-25T07:00:07Z;2026-03-22T20:22:18Z
youlookwhat/DesignPattern;5099;9.42;0;Java;1471;4;2016-10-21T10:59:32Z;2026-03-21T13:32:03Z
line/armeria;5083;10.35;269;Java;982;723;2015-11-16T04:04:01Z;2026-03-22T15:06:36Z
spring-projects/spring-authorization-server;5081;6.01;85;Java;1361;42;2020-03-17T17:28:57Z;2026-03-21T09:33:36Z
sofastack/sofa-boot;5079;7.97;83;Java;1262;13;2018-04-02T08:28:14Z;2026-03-21T16:58:53Z
xuexiangjys/XUI;5075;7.2;23;Java;861;8;2019-01-07T07:59:02Z;2026-03-21T14:55:45Z
Kodezi/Chronos;5070;0.67;0;Java;215;0;2025-07-21T07:34:10Z;2026-03-21T16:12:27Z
bisq-network/bisq;5065;12.03;143;Java;1287;169;2014-03-12T09:42:29Z;2026-03-19T10:42:06Z
OpenTSDB/opentsdb;5064;15.57;27;Java;1238;537;2010-08-27T02:05:20Z;2026-03-20T04:29:10Z
apache/ignite;5056;11.09;0;Java;1932;842;2015-02-19T08:00:05Z;2026-03-22T01:17:56Z
Sayi/poi-tl;5047;11.01;14;Java;1127;62;2015-03-20T06:47:52Z;2026-03-22T20:46:30Z
wequick/Small;5043;10.32;25;Java;1102;262;2015-11-27T11:37:20Z;2026-03-21T10:09:58Z
2227324689/gpmall;5040;6.68;0;Java;1887;49;2019-07-18T14:09:22Z;2026-03-22T14:23:18Z
jankotek/mapdb;5038;13.59;0;Java;881;199;2012-08-17T15:28:54Z;2026-03-17T07:09:03Z
javastacks/spring-boot-best-practice;5035;7.36;1;Java;1356;0;2018-11-09T06:23:18Z;2026-03-22T15:23:25Z
Trinea/android-common;5023;13.75;1;Java;2611;18;2012-06-19T07:49:46Z;2026-03-15T05:12:15Z
yipianfengye/android-zxingLibrary;5018;9.65;0;Java;1042;203;2016-07-26T08:00:18Z;2026-03-18T09:02:56Z
youlookwhat/CloudReader;5009;9.33;26;Java;1346;5;2016-11-20T11:59:25Z;2026-03-18T12:26:58Z
rubensousa/GravitySnapHelper;5002;9.56;15;Java;617;0;2016-08-31T07:25:23Z;2026-03-19T14:36:32Z
apache/maven;4996;16.84;30;Java;2840;745;2009-05-21T03:22:03Z;2026-03-22T22:29:22Z
DingMouRen/LayoutManagerGroup;4989;7.9;0;Java;676;41;2018-04-28T11:47:38Z;2026-03-18T12:27:32Z
JodaOrg/joda-time;4988;14.85;51;Java;1016;37;2011-05-16T16:49:57Z;2026-03-16T20:10:58Z
spring-attic/spring-mvc-showcase;4985;14.8;0;Java;3655;14;2011-06-03T15:36:55Z;2026-03-17T20:00:04Z
orhanobut/dialogplus;4975;11.27;9;Java;785;54;2014-12-12T09:24:44Z;2026-03-18T08:08:08Z
rstudio/rstudio;4974;15.29;0;Java;1166;1372;2010-12-07T19:10:25Z;2026-03-22T22:41:08Z
alibaba/UltraViewPager;4968;8.98;10;Java;679;57;2017-03-29T13:31:53Z;2026-03-19T17:32:42Z
ageerle/ruoyi-ai;4967;2.18;6;Java;1221;5;2024-01-16T04:16:41Z;2026-03-21T15:16:57Z
spring-cloud/spring-cloud-netflix;4963;11.7;30;Java;2456;92;2014-07-11T15:46:12Z;2026-03-22T03:54:16Z
querydsl/querydsl;4961;14.63;35;Java;877;65;2011-08-05T06:46:32Z;2026-03-21T19:46:35Z
roncoo/roncoo-pay;4961;9.67;0;Java;2586;31;2016-07-21T02:46:06Z;2026-03-22T19:15:55Z
frogermcs/InstaMaterial;4956;11.36;1;Java;1422;31;2014-11-10T18:56:49Z;2026-03-13T18:49:58Z
react-native-config/react-native-config;4955;10.08;33;Java;658;376;2016-02-23T00:19:11Z;2026-03-22T18:14:38Z
react-native-webrtc/react-native-webrtc;4946;10.48;82;Java;1321;38;2015-09-27T10:57:30Z;2026-03-20T08:40:03Z
orientechnologies/orientdb;4941;13.28;231;Java;874;344;2012-12-09T20:33:47Z;2026-03-22T21:58:35Z
Devlight/NavigationTabBar;4936;9.98;13;Java;913;68;2016-03-29T08:59:27Z;2026-03-13T18:39:26Z
amitshekhariitbhu/RxJava2-Android-Samples;4928;9.57;0;Java;1053;17;2016-08-27T08:21:37Z;2026-03-16T08:27:14Z
DiUS/java-faker;4926;14.79;0;Java;865;226;2011-06-06T01:01:21Z;2026-03-19T14:07:20Z
traex/RippleEffect;4906;11.44;0;Java;1067;54;2014-10-14T13:32:51Z;2026-03-20T04:59:50Z
fuzhengwei/small-spring;4901;4.85;0;Java;1427;35;2021-05-15T06:07:28Z;2026-03-20T05:38:03Z
cglib/cglib;4895;11.98;15;Java;887;96;2014-03-29T13:48:30Z;2026-03-19T11:50:42Z
Ramotion/folding-cell-android;4894;9.97;0;Java;837;8;2016-04-01T11:38:47Z;2026-03-21T17:13:29Z
angryip/ipscan;4889;14.73;32;Java;805;184;2011-06-28T20:58:48Z;2026-03-22T23:16:49Z
HeliBorg/HeliBoard;4886;4.04;62;Java;260;691;2022-03-09T08:38:32Z;2026-03-22T23:36:10Z
Threekiii/Awesome-POC;4873;4.08;2;Java;1008;2;2022-02-20T06:43:22Z;2026-03-21T13:38:03Z
reactive-streams/reactive-streams-jvm;4869;12.06;0;Java;532;34;2014-02-28T13:16:15Z;2026-03-17T07:09:52Z
mock-server/mockserver;4860;13.07;0;Java;1100;318;2013-02-26T06:09:52Z;2026-03-22T23:38:46Z
zhkl0228/unidbg;4854;7.07;16;Java;1115;416;2019-02-26T09:32:15Z;2026-03-22T15:48:04Z
spring-cloud/spring-cloud-gateway;4839;9.34;45;Java;3432;516;2016-11-16T21:42:51Z;2026-03-20T14:38:03Z
micrometer-metrics/micrometer;4830;8.95;291;Java;1077;293;2017-04-10T21:36:51Z;2026-03-21T04:13:32Z
mcxiaoke/packer-ng-plugin;4815;10.32;1;Java;857;21;2015-11-24T04:08:08Z;2026-03-20T04:54:12Z
andkulikov/Transitions-Everywhere;4798;11.43;23;Java;481;7;2014-10-15T03:37:03Z;2026-03-13T18:46:38Z
deepjavalibrary/djl;4795;6.4;38;Java;744;226;2019-10-29T22:38:54Z;2026-03-22T05:49:47Z
claritylab/lucida;4792;11.86;0;Java;870;75;2014-05-13T17:12:49Z;2026-03-20T02:38:47Z
oracle/opengrok;4782;13.2;302;Java;802;542;2013-01-07T11:49:18Z;2026-03-20T17:09:56Z
